hash_cards,dealer_points,player_points,action,wins,loses
1661266468383996262,5,19,hold,6031,1934
-8854393585641549550,1,3,hold,4,409
-1723647834540282466,8,12,hold,35,1585
3241013021457617511,8,13,hit,2533,6436
5540938345328127874,8,18,hit,482,1953
-8991128628422186323,4,15,hold,2592,5382
6379125934974291431,7,9,hit,2041,1825
-719759371824166261,7,11,hold,166,984
-884410444904403952,6,15,hit,1738,4764
821292786088579115,6,18,hold,5544,2881
3885975004153639677,3,16,hold,3195,5344
-8077757243492011515,9,20,hit,34,765
8616707782192830879,9,21,hold,4559,0
7363852601015501852,7,9,hold,433,1245
4104536775614338286,7,19,hold,7890,1549
-6020148816368762741,2,13,hit,2408,5417
-3278222227344630408,5,8,hold,308,1153
-8766634229433634288,4,14,hold,1356,3843
7699472910040327485,1,17,hit,679,4597
-3620942009237549186,1,12,hold,7,1848
2557566868614799981,3,10,hold,415,1235
-3135633118502888870,2,8,hit,1213,1758
3706732580982550092,10,9,hold,746,4169
9054007373518096287,8,19,hit,113,831
-8506753761990148552,10,6,hold,324,2997
1866104196093105398,9,12,hit,2399,6594
-8475140599693688356,3,13,hit,1993,4491
-1876443219725983541,3,16,hit,510,1889
-1000453277116551683,7,5,hit,672,1166
-1229021067205597193,6,17,hold,3854,3690
-7782558908011108558,9,17,hit,802,3319
-377687072437232250,1,6,hit,286,1435
-8400868407758074469,1,13,hit,1556,7303
1624966070775559843,5,10,hold,337,1093
3630709433083724251,5,6,hit,716,1098
-7905429328205563118,5,7,hold,247,1039
1497044566968459462,4,9,hold,378,1273
-2768137345948232080,8,21,hold,4693,0
8634035033589757964,3,13,hold,680,2993
-6434110893025375594,8,20,hit,49,781
-3656508303564919303,8,21,hit,0,425
-3925345307006180304,2,12,hit,2350,5062
-3910508388371264841,1,20,hit,29,1030
9108247977622334456,9,21,hit,0,460
-6051012420206035200,4,12,hold,75,1581
1235675985080664698,6,14,hold,368,2687
-8015322876100641458,3,12,hit,3069,6154
-3262074684963498596,3,21,hit,0,457
-4057178534585133019,9,8,hold,162,1211
-1176244295254228757,3,12,hold,59,1553
-4408277105367726039,4,8,hit,1397,1688
4224384902964506766,5,15,hit,921,2552
4697346730999505926,7,16,hit,1419,3905
3444467294251045309,8,12,hit,2809,6500
1452483824587778302,1,19,hit,74,1123
-8031759606937316563,6,10,hold,415,1269
6522729033027516151,9,11,hold,150,1092
-6387366147896114303,7,18,hit,211,909
1288273398739182614,9,4,hit,308,748
-2750874439101828764,9,14,hit,1932,5923
-2329948297852948588,10,8,hold,497,3524
-470612789591425891,3,4,hit,304,563
6565817333393886611,2,20,hold,9734,1656
-1997900538006702202,8,16,hold,1738,5444
7143748000804399649,5,18,hit,224,1143
5189217894270061017,7,13,hit,2969,6411
-7553959022608061097,7,17,hold,1524,2208
5496704496015125969,1,18,hold,2148,5399
-8550094533415246835,7,2,hold,8,182
2247137642906204469,8,20,hold,12301,979
9121490085287784709,7,10,hold,481,1335
-6863165327903012191,7,10,hit,2571,1897
5317291593900730601,8,8,hold,209,1106
-278693164345119776,2,12,hold,252,2229
-7466104135424310263,7,15,hold,785,3589
-9025569314416671434,7,6,hold,101,830
8927424660520198738,3,17,hit,437,1876
-4273966358140536014,3,6,hit,713,1237
1173591021473869405,4,12,hit,3224,6112
-8381933596737342922,2,14,hold,1104,4169
363516183369860940,7,13,hold,162,1947
1158019489111059785,10,5,hit,2138,5995
-8532241689526546499,6,11,hit,3060,2072
8102560012059006571,6,21,hit,0,478
-5344409401211192686,10,3,hit,1188,2463
209040603200294358,4,15,hit,992,2810
9098570348408577539,4,18,hold,4793,3198
-1882648416319041308,3,14,hit,1561,4035
-7878024189627134407,8,3,hit,284,538
7582907114570897869,3,21,hold,3440,0
-9148891334970905219,6,10,hit,2605,1974
