hash_cards,dealer_points,player_points,action,wins,loses
-9184465900257647305,1,3,hold,4,344
-468779743684308169,8,12,hold,29,1453
9036271672017046279,8,13,hit,1969,4882
7659492497406343929,8,18,hit,404,1616
-600836270102297643,4,15,hold,2007,4138
284698428024703756,7,9,hit,1528,1417
-9174213378890017300,7,11,hold,149,885
-625303948553727483,6,15,hit,1289,3639
83894271220467692,6,18,hold,4234,2191
4602629856540368649,3,16,hold,2456,4125
3183656339342569404,9,20,hit,31,692
-2828122125688253156,9,21,hold,3497,0
7123892415552542089,7,9,hold,356,1064
-5768879722668967494,7,19,hold,5998,1193
8243333400745306635,2,13,hit,1786,4127
7407550601433185663,5,8,hold,263,981
-6440831978789911729,4,14,hold,1062,3055
-1383601002552515973,1,17,hit,512,3585
4175668098380904793,1,12,hold,7,1669
135921018730230046,3,10,hold,349,1066
-4142577370248753252,2,8,hit,882,1371
7499016315511079231,10,9,hold,649,3521
6126330867662318980,8,19,hit,102,749
-6380297580215741811,10,6,hold,279,2533
-8286674937260199342,9,12,hit,1815,5093
6477731180720406081,3,13,hit,1502,3372
8542671941050367728,3,16,hit,425,1586
5402830861314148658,7,5,hit,507,906
-8661618754069780615,6,17,hold,2908,2819
-3211710812257449977,9,17,hit,634,2632
4053686446203113829,1,6,hit,218,1093
-277925838224505796,1,13,hit,1149,5542
-3376079822032076399,5,10,hold,290,933
-16936003442532664,5,6,hit,522,835
-3468801596354081983,5,7,hold,207,858
6686991409464892206,4,9,hold,313,1075
442042978231099993,8,21,hold,3588,0
-6858675002604449638,3,13,hold,555,2497
-5665129788622517480,8,20,hit,44,713
-6878462647234304936,8,21,hit,0,391
-5796349091084268874,2,12,hit,1734,3861
8374641358608857924,1,20,hit,26,945
4826318216263067592,9,21,hit,0,426
-2560497071914541720,4,12,hold,69,1427
-3238698843571099022,6,14,hold,317,2305
5857895388359011255,3,12,hit,2307,4762
3016745538039211329,3,21,hit,0,401
1840512155913620289,9,8,hold,134,1040
-7732694478329536182,3,12,hold,52,1407
-5653884503975569881,4,8,hit,1006,1294
-3979836981068972391,5,15,hit,733,2038
4000575565599337525,7,16,hit,1109,3086
1597977010803801976,8,12,hit,2119,5034
-8277368779824896280,1,19,hit,64,1001
-3663155110369969107,6,10,hold,343,1071
-8602359248413499604,9,11,hold,135,932
1867734623931612652,7,18,hit,170,775
-8903271926432764448,9,4,hit,241,578
7833370896023664809,9,14,hit,1461,4548
2753781468302432909,10,8,hold,430,3053
1794178333317432741,3,4,hit,234,440
-3707702122274253647,2,20,hold,7545,1293
-1863072477632700165,8,16,hold,1342,4198
-3151261407023823096,5,18,hit,186,999
