Total games played,Session games played,Wins,Loses
19689,31,4,23
19752,63,20,42
19780,28,4,24
19830,50,13,35
19879,49,13,34
19975,96,30,54
20005,30,5,23
20094,89,33,53
20159,65,20,43
20231,72,24,47
20313,82,30,51
20345,32,5,26
20385,40,7,29
20425,40,8,29
20486,61,17,38
20533,47,13,32
20582,49,12,32
20627,45,12,31
20690,63,19,43
20746,56,15,37
20799,53,14,36
20904,105,38,60
20973,69,23,43
21028,55,16,38
21127,99,35,58
21190,63,20,40
21236,46,12,33
21308,72,23,45
21382,74,25,47
21431,49,13,34
21469,38,7,27
21505,36,7,28
21605,100,35,56
21637,32,6,24
21681,44,11,30
21737,56,14,37
21776,39,8,29
21840,64,18,42
21878,38,9,29
21919,41,10,31
21953,34,6,26
22001,48,10,31
22105,104,37,59
22149,44,10,33
22231,82,28,51
22270,39,9,27
22314,44,10,30
22363,49,14,33
22435,72,22,43
22491,56,16,37
22556,65,21,40
22636,80,26,50
22677,41,10,31
22739,62,19,40
22854,115,44,66
22914,60,17,40
23018,104,38,62
23060,42,9,31
23113,53,14,35
23217,104,39,63
23270,53,15,37
23305,35,6,26
23357,52,13,35
23458,101,33,59
23552,94,32,54
23616,64,19,41
23651,35,7,27
23683,32,6,25
23771,88,30,51
23836,65,21,41
23882,46,11,31
23944,62,20,39
23991,47,11,33
24033,42,10,30
24063,30,5,23
24112,49,13,33
24149,37,8,28
24245,96,36,57
24321,76,26,47
24392,71,23,45
24525,133,50,77
24579,54,15,35
24651,72,23,44
24715,64,20,41
24760,45,10,31
24823,63,19,39
24885,62,19,39
24974,89,32,54
25025,51,15,33
25094,69,22,44
25158,64,19,40
25200,42,9,31
25268,68,21,42
25308,40,10,28
25366,58,16,37
25415,49,13,35
25445,30,6,24
25482,37,6,27
25535,53,14,36
25606,71,24,42
25666,60,17,37
25699,33,7,25
25727,28,5,23
25771,44,10,33
25826,55,15,39
25873,47,12,32
25956,83,29,50
26075,119,42,70
26121,46,11,32
26162,41,10,29
26226,64,21,43
26273,47,12,32
26337,64,20,40
26400,63,19,39
26437,37,7,27
26468,31,5,24
26509,41,9,30
26585,76,25,48
26669,84,30,49
26719,50,13,33
26774,55,15,38
26876,102,39,60
26918,42,11,30
26945,27,3,24
26988,43,8,30
27028,40,9,29
27092,64,19,42
27125,33,6,26
27185,60,18,39
27241,56,17,39
27282,41,8,30
27335,53,15,35
27372,37,7,27
27433,61,17,38
27478,45,10,31
27615,137,50,79
27647,32,6,24
27692,45,12,32
27736,44,11,31
27815,79,25,47
27876,61,17,38
27935,59,17,39
27999,64,19,40
28040,41,9,29
28091,51,14,36
28125,34,5,26
28194,69,20,43
28262,68,21,42
28309,47,13,33
28398,89,28,54
28460,62,18,40
28568,108,40,62
28625,57,16,37
28661,36,6,26
28719,58,18,37
28758,39,10,29
28790,32,6,26
28868,78,26,47
28948,80,28,47
29010,62,17,38
29069,59,15,38
29121,52,14,34
29174,53,15,34
29230,56,16,37
29289,59,17,39
29363,74,23,46
29458,95,32,58
29507,49,13,33
29564,57,17,38
29655,91,30,54
29737,82,28,49
29794,57,17,39
29829,35,7,27
29867,38,6,26
29995,128,46,73
30052,57,17,37
30094,42,10,31
30170,76,26,44
30216,46,10,32
30294,78,24,44
30348,54,17,36
30385,37,7,27
30421,36,8,26
30481,60,17,40
30538,57,16,37
30576,38,8,26
30686,110,41,67
30812,126,46,74
30882,70,22,44
30954,72,23,46
31042,88,29,52
31081,39,8,30
31136,55,16,34
31174,38,7,28
31214,40,10,29
31282,68,19,39
31341,59,18,39
31392,51,14,34
31512,120,45,70
31598,86,30,49
31643,45,10,32
31701,58,17,38
31800,99,35,60
31843,43,10,28
31913,70,23,46
31953,40,9,29
31975,22,1,21
32111,136,54,79
32178,67,21,43
32235,57,18,39
32314,79,25,48
32351,37,8,28
32407,56,15,34
32524,117,44,68
32584,60,17,38
32637,53,16,37
32694,57,17,38
32782,88,28,52
32825,43,10,29
32867,42,8,29
32894,27,4,23
32962,68,18,43
33055,93,33,53
33099,44,9,30
33184,85,28,49
33214,30,4,24
33285,71,22,45
33340,55,16,38
33391,51,15,35
33437,46,13,31
33470,33,6,26
33537,67,21,44
33570,33,5,26
33618,48,12,32
33680,62,18,39
33748,68,21,43
33833,85,28,53
33911,78,24,46
33975,64,20,40
